Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,5076.549805,5168.109863,4894.299805,5003.919922,5003.919922,1852211300
2018-12-01,5112.580078,5115.129883,4555.990234,4730.689941,4730.689941,1797889100
2019-01-01,4642.180176,5016.279785,4606.200195,4992.720215,4992.720215,1758500300
2019-02-01,5004.649902,5248.500000,4946.140137,5240.529785,5240.529785,1689065900
2019-03-01,5267.140137,5443.100098,5211.759766,5350.529785,5350.529785,1759062500
2019-04-01,5394.500000,5601.379883,5376.180176,5586.410156,5586.410156,1552386000
2019-05-01,5568.200195,5573.160156,5160.910156,5207.629883,5207.629883,1891335300
2019-06-01,5171.609863,5582.240234,5152.299805,5538.970215,5538.970215,1676802200
2019-07-01,5584.129883,5672.770020,5496.770020,5518.899902,5518.899902,1533760900
2019-08-01,5500.910156,5563.649902,5170.770020,5480.479980,5480.479980,1755063200
2019-09-01,5483.430176,5696.250000,5441.180176,5677.790039,5677.790039,1726466100
2019-10-01,5696.200195,5778.240234,5393.490234,5729.859863,5729.859863,1890277500
2019-11-01,5749.479980,5966.790039,5739.700195,5905.169922,5905.169922,1583901400
2019-12-01,5910.120117,6065.000000,5697.060059,5978.060059,5978.060059,1455227900
2020-01-01,6016.609863,6109.810059,5799.040039,5806.339844,5806.339844,1644181800
2020-02-01,5822.040039,6111.410156,5229.560059,5309.899902,5309.899902,2250355600
2020-03-01,5416.020020,5509.279785,3632.060059,4396.120117,4396.120117,4755485900
2020-04-01,4259.939941,4719.740234,4142.279785,4572.180176,4572.180176,2246106400
2020-05-01,4413.140137,4784.089844,4194.580078,4695.439941,4695.439941,2185653500
2020-06-01,4776.720215,5213.669922,4691.810059,4935.990234,4935.990234,2765448100
2020-07-01,4939.799805,5172.979980,4783.689941,4783.689941,4783.689941,1968206500
2020-08-01,4797.060059,5096.529785,4763.600098,4947.220215,4947.220215,1492673300
2020-09-01,4974.419922,5131.390137,4666.259766,4803.439941,4803.439941,2111670300
2020-10-01,4850.200195,4998.509766,4512.569824,4594.240234,4594.240234,1398836100
2020-11-01,4614.950195,5612.759766,4581.859863,5518.549805,5518.549805,246374100
2020-12-01,5542.459961,5625.600098,5306.580078,5551.410156,5551.410156,709171000
2021-01-01,5614.040039,5721.890137,5379.220215,5399.209961,5399.209961,1890232300
2021-02-01,5441.430176,5834.359863,5429.779785,5703.220215,5703.220215,1653472600
2021-03-01,5770.890137,6097.740234,5755.600098,6067.229980,6067.229980,1790816900
2021-04-01,6079.669922,6352.359863,6063.859863,6269.479980,6269.479980,1131002300
2021-05-01,6285.509766,6496.319824,6150.430176,6447.169922,6447.169922,1406929000
2021-06-01,6470.419922,6687.290039,6464.709961,6507.830078,6507.830078,1498795900
2021-07-01,6549.819824,6671.120117,6253.250000,6612.759766,6612.759766,1235050200
2021-08-01,6657.950195,6913.669922,6560.740234,6680.180176,6680.180176,1307673500
2021-09-01,6736.439941,6784.660156,6389.620117,6520.009766,6520.009766,1895499000
2021-10-01,6421.100098,6830.339844,6412.700195,6830.339844,6830.339844,1580696700
2021-11-01,6870.279785,7183.080078,6655.859863,6721.160156,6721.160156,1852987900
2021-12-01,6774.799805,7201.649902,6730.629883,7153.029785,7153.029785,1611308500
2022-01-01,7197.399902,7384.859863,6754.240234,6999.200195,6999.200195,1499396000
2022-02-01,7052.299805,7169.629883,6432.890137,6658.830078,6658.830078,1777814500
2022-03-01,6646.160156,6829.399902,5756.379883,6659.870117,6659.870117,2934718800
2022-04-01,6672.979980,6757.750000,6338.609863,6533.770020,6533.770020,1549959400
2022-05-01,6469.310059,6582.049805,6086.020020,6468.799805,6468.799805,1952982700
2022-06-01,6509.189941,6593.149902,5830.870117,5922.859863,5922.859863,1761847100
2022-07-01,5875.600098,6472.270020,5786.500000,6448.500000,6448.500000,1588082500
2022-08-01,6447.180176,6608.830078,6125.100098,6125.100098,6125.100098,1480950600
2022-09-01,6068.339844,6394.180176,5628.419922,5762.339844,5762.339844,1789764900
2022-10-01,5697.470215,6293.149902,5654.439941,6266.770020,6266.770020,1530909300
2022-11-01,6329.759766,6743.600098,6191.729980,6738.549805,6738.549805,1663727000
2022-12-01,6784.600098,6823.100098,6388.229980,6473.759766,6473.759766,1448945200
2023-01-01,6521.069824,7117.529785,6518.209961,7082.419922,7082.419922,1456704600
2023-02-01,7087.200195,7387.290039,7059.609863,7267.930176,7267.930176,1563441300
2023-03-01,7279.339844,7401.149902,6796.209961,7322.390137,7322.390137,1805593600
2023-04-01,7341.689941,7581.259766,7300.330078,7491.500000,7491.500000,1218351300
2023-05-01,7466.819824,7523.560059,7083.600098,7098.700195,7098.700195,1411849900
2023-06-01,7139.390137,7419.359863,7090.459961,7400.060059,7400.060059,1185789100
2023-07-01,7415.169922,7526.049805,7052.770020,7497.779785,7497.779785,1060306800
2023-08-01,7478.100098,7499.529785,7092.720215,7316.700195,7316.700195,1119864900
2023-09-01,7310.680176,7435.359863,7033.830078,7135.060059,7135.060059,1063649400
2023-10-01,7164.049805,7197.000000,6773.819824,6885.649902,6885.649902,1186296700
2023-11-01,6914.319824,7321.470215,6873.549805,7310.770020,7310.770020,1155031400
2023-12-01,7336.549805,7653.990234,7313.189941,7543.180176,7543.180176,1023563200
2024-01-01,7577.330078,7702.950195,7281.100098,7656.750000,7656.750000,1134390000
2024-02-01,7590.149902,7977.680176,7558.229980,7927.430176,7927.430176,1288344100
2024-03-01,7950.660156,8253.589844,7900.479980,8205.809570,8205.809570,1173789100
2024-04-01,8195.650391,8253.049805,7899.359863,7984.930176,7984.930176,1232523700
2024-05-01,7954.009766,8259.190430,7908.629883,7992.870117,7992.870117,1176827100
2024-06-01,8069.620117,8072.310059,7995.080078,7998.020020,7998.020020,51288400
